Search Rank,Brand,Model,Rating,Number of Ratings
1,Insignia™,NS-32DR310NA17,4.5,4787
2,Samsung,UN40J5200AFXZA,4.6,5854
3,Insignia™,NS-39DR510NA17,4.5,4429
4,LG,43LJ550M,4.6,257
5,Sharp,LC-50LB481U,4.6,2980
6,Westinghouse,WD24HB2600,4.2,294
7,Sharp,LC-43LB481U,4.5,2536
8,LG,49LJ550M,4.6,171
9,Samsung,UN55KU6290FXZA,4.7,3446
10,Sharp,LC-32LB591U,4.3,58
11,TCL,43S305,5,1
12,Samsung,UN32J5500AFXZA,4.7,5404
13,VIZIO,D39F-E1,4.6,60
14,Samsung,UN28H4500AFXZA,4.6,2043
15,Westinghouse,WD42FB2680,4.2,116
16,LG,32LJ550M,4.8,48
17,Samsung,UN40J6200AFXZA,4.6,3502
18,Samsung,UN55J6200AFXZA/UN55J6201AFXZA,4.6,3291
19,Samsung,UN60J6200AFXZA,4.6,2533
20,Westinghouse,WD50FB2530,4.2,637
21,Samsung,UN24H4500AFXZA,4.5,2695
22,Samsung,UN50MU6300FXZA,4.7,324
23,Sony,KDL48W650D,4.4,1029
24,Sharp,LC-55LB481U,4.5,933
25,Sony,KDL48W650D,4.4,1029
26,Sharp,LC-55LB481U,4.5,933
27,LG,24LJ4840-WU,4.6,212
28,Samsung,UN58MU6100FXZA,4.4,77
29,Samsung,UN65MU6300FXZA,4.7,215
30,VIZIO,E48-D0,4,404
31,Samsung,UN49MU7000FXZA,4.7,278
32,LG,55UJ6300,4.5,107
33,LG,43UJ6300,4.5,398
34,Insignia™,NS-43DR620NA18,4.5,229
35,Hisense,39H5D,4.8,4
36,Samsung,UN40MU6300FXZA,4.7,549
37,LG,49UJ6300,4.5,52
38,Samsung,UN65KU6290FXZA,4.7,979
39,VIZIO,D43-D2/D43F-E1,4.6,96
40,Insignia™,NS-50DR620NA18,4.4,187
41,Samsung,UN55MU6300FXZA,4.7,312
42,Samsung,UN65MU8000FXZA,4.7,626
43,LG,65UJ6300,4.8,26
44,Samsung,UN55MU6500FXZA,4.7,202
45,Samsung,UN65MU6500FXZA,4.7,122
46,Hisense,50DU6070,4.4,71
47,LG,60UJ6300,4.5,55
48,VIZIO,E55-E2,4.3,614
49,Samsung,UN40MU6300FXZA,4.7,549
50,TCL,55S405,4.5,35
51,Insignia™,NS-55DR620NA18,4.7,82
52,Westinghouse,WD43UB4530,4.2,212
53,Hisense,55DU6070,4.6,103
54,Samsung,UN55MU7000FXZA,4.7,239
55,Westinghouse,WD55UB4530,4.1,426
56,LG,55UH6150,4.6,1568
57,Sony,XBR49X700D,4.6,923
58,VIZIO,D40f-E1,"",""
59,TCL,"","",""
60,Toshiba,43L511U18,4.7,23
61,Toshiba,49L621U,4.5,1851
62,LG,"",4.8,23
63,Toshiba,55L621U,4.3,1134
64,Samsung,UN32J4500AFXZA,4.6,3605
65,VIZIO,D24-D1,4.5,1318
66,LG,55LJ550M,4.6,212
67,VIZIO,D32x-D1/D32f-E1,4.6,667
68,Samsung,UN49M5300AFXZA,4.8,69
69,Samsung,UN32J5205AFXZA,4.6,4572
70,Insignia™,NS-24ER310NA17,4.4,1205
71,Samsung,UN50M5300FXZA,3.7,3
72,Sharp,LC-43LBU591U,4.7,7
73,Sharp,LC-50LBU591U,5,3
74,Sharp,LC-55LBU591U,4.6,5
75,Sharp,LC-65LBU591U,3.3,7
76,Sony,XBR65X900E,4.8,812
77,Samsung,UN65MU8500FXZA,4.7,216
78,Sony,XBR55X800E,4.8,241
79,Sony,XBR55X900E,4.7,513
80,Samsung,UN55MU8000FXZA,4.7,283
81,Samsung,UN49MU8000FXZA,4.6,118
82,Sony,XBR75X850E,4.7,298
83,Sony,XBR65X850E,4.7,420
84,Samsung,UN55MU8500FXZA,4.7,161
85,LG,65SJ8500,4.7,41
86,TCL,32S305,4,1
87,LG,OLED55C7P,4.9,130
88,LG,65UJ7700,4.6,16
89,LG,60UJ7700,4.7,22
90,LG,OLED65C7P,4.8,171
91,Samsung,QN55Q7FAMFXZA,4.7,94
